,idx,rule,entriesIdx,numLibTweets,numConTweets,class
0,6,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care <= 0.5', 'valence <= 0.5104166567325592', 'valence <= 0.4270833283662796', 'dominance <= 0.21875']","[398, 1019, 1259, 1302, 1762, 1890, 2073, 2135, 2252, 2753, 2878, 3025, 3037]",0.0,10.0,0
1,7,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care <= 0.5', 'valence <= 0.5104166567325592', 'valence <= 0.4270833283662796', 'dominance > 0.21875']","[28, 36, 37, 49, 62, 82, 89, 92, 96, 99, 116, 128, 141, 147, 157, 159, 161, 165, 167, 181, 182, 225, 238, 242, 255, 256, 262, 264, 269, 288, 317, 319, 329, 348, 349, 357, 359, 379, 382, 389, 397, 403, 408, 410, 418, 423, 427, 445, 455, 463, 466, 478, 485, 490, 495, 510, 512, 517, 521, 537, 551, 577, 594, 599, 606, 613, 630, 636, 653, 659, 664, 690, 729, 765, 772, 779, 807, 831, 834, 854, 887, 902, 915, 924, 951, 953, 954, 955, 961, 966, 970, 973, 994, 1000, 1007, 1048, 1053, 1062, 1067, 1079, 1080, 1084, 1089, 1094, 1100, 1109, 1117, 1120, 1128, 1132, 1135, 1143, 1150, 1165, 1171, 1181, 1182, 1200, 1203, 1204, 1250, 1263, 1274, 1276, 1279, 1292, 1303, 1308, 1309, 1311, 1313, 1318, 1328, 1329, 1377, 1382, 1392, 1395, 1401, 1412, 1417, 1437, 1441, 1442, 1446, 1449, 1480, 1481, 1485, 1486, 1496, 1501, 1511, 1513, 1518, 1531, 1537, 1544, 1551, 1553, 1578, 1582, 1604, 1621, 1645, 1677, 1686, 1688, 1691, 1745, 1768, 1793, 1797, 1813, 1825, 1841, 1847, 1854, 1865, 1876, 1877, 1879, 1897, 1916, 1918, 1921, 1943, 1945, 1946, 1949, 1961, 1965, 1980, 2044, 2071, 2078, 2082, 2085, 2095, 2104, 2105, 2127, 2132, 2136, 2157, 2173, 2175, 2177, 2194, 2209, 2234, 2236, 2254, 2261, 2295, 2296, 2304, 2306, 2308, 2309, 2310, 2317, 2324, 2341, 2351, 2365, 2377, 2416, 2430, 2460, 2479, 2480, 2487, 2499, 2505, 2525, 2530, 2531, 2546, 2584, 2594, 2595, 2603, 2604, 2608, 2623, 2637, 2638, 2644, 2645, 2647, 2649, 2653, 2666, 2669, 2682, 2704, 2730, 2733, 2755, 2765, 2774, 2776, 2778, 2785, 2793, 2797, 2803, 2872, 2879, 2896, 2915, 2919, 2943, 2944, 2988, 2990, 2995, 3018, 3058, 3061, 3077, 3082, 3086, 3089, 3094, 3095]",86.0,156.0,0
2,9,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care <= 0.5', 'valence <= 0.5104166567325592', 'valence > 0.4270833283662796', 'valence <= 0.4895833283662796']","[1, 2, 15, 51, 125, 145, 188, 199, 202, 216, 227, 274, 327, 336, 361, 407, 431, 447, 452, 477, 505, 506, 545, 552, 581, 600, 603, 649, 661, 686, 692, 719, 754, 761, 801, 822, 846, 849, 851, 875, 889, 899, 945, 948, 980, 1023, 1039, 1052, 1090, 1115, 1119, 1173, 1177, 1194, 1205, 1212, 1214, 1245, 1252, 1261, 1269, 1275, 1320, 1350, 1353, 1356, 1369, 1379, 1380, 1420, 1540, 1545, 1555, 1557, 1562, 1583, 1639, 1693, 1696, 1708, 1711, 1722, 1765, 1800, 1835, 1839, 1857, 1871, 1880, 1904, 1966, 2002, 2006, 2039, 2042, 2064, 2169, 2191, 2193, 2200, 2222, 2280, 2281, 2290, 2311, 2329, 2392, 2415, 2445, 2448, 2482, 2507, 2526, 2532, 2538, 2549, 2569, 2661, 2662, 2736, 2787, 2817, 2829, 2834, 2864, 2874, 2875, 2914, 3002, 3045, 3083, 3093]",17.0,90.0,0
3,10,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care <= 0.5', 'valence <= 0.5104166567325592', 'valence > 0.4270833283662796', 'valence > 0.4895833283662796']","[33, 64, 104, 113, 173, 265, 324, 441, 518, 557, 575, 702, 740, 808, 813, 842, 872, 925, 934, 1057, 1160, 1301, 1310, 1317, 1370, 1438, 1465, 1467, 1527, 1635, 1647, 1680, 1716, 1718, 1732, 1851, 1852, 1894, 1903, 1919, 1989, 2102, 2218, 2248, 2333, 2340, 2354, 2424, 2609, 2739, 2757, 2779, 2794, 2827, 2850, 2906, 2974, 3024, 3030, 3065]",16.0,33.0,0
4,13,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care <= 0.5', 'valence > 0.5104166567325592', 'valence <= 0.59375', 'valence <= 0.5520833432674408']","[117, 135, 186, 197, 224, 233, 268, 294, 298, 310, 342, 350, 394, 399, 436, 461, 465, 508, 561, 569, 647, 694, 717, 795, 826, 828, 847, 873, 879, 928, 931, 991, 996, 1063, 1116, 1156, 1162, 1176, 1199, 1218, 1244, 1300, 1316, 1373, 1387, 1422, 1426, 1452, 1559, 1561, 1593, 1607, 1637, 1668, 1700, 1725, 1735, 1771, 1787, 1823, 1843, 1849, 1855, 1931, 1960, 1971, 2049, 2061, 2090, 2101, 2155, 2238, 2334, 2352, 2373, 2440, 2444, 2468, 2481, 2497, 2523, 2528, 2563, 2664, 2677, 2697, 2711, 2741, 2940, 2952, 2977, 2996, 3073]",28.0,45.0,0
5,14,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care <= 0.5', 'valence > 0.5104166567325592', 'valence <= 0.59375', 'valence > 0.5520833432674408']","[67, 69, 74, 111, 151, 175, 209, 266, 282, 302, 307, 416, 444, 469, 472, 572, 667, 684, 766, 774, 855, 895, 988, 1076, 1141, 1211, 1260, 1306, 1325, 1348, 1363, 1396, 1400, 1530, 1580, 1585, 1589, 1595, 1646, 1726, 1751, 1794, 1860, 1870, 1908, 1914, 1936, 1940, 2027, 2062, 2113, 2239, 2241, 2297, 2330, 2380, 2405, 2488, 2501, 2533, 2557, 2575, 2585, 2598, 2620, 2641, 2646, 2676, 2678, 2693, 2762, 2795, 2838, 2871, 2911, 2972, 2980, 2986, 3050, 3096, 3097]",32.0,31.0,1
6,16,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care <= 0.5', 'valence > 0.5104166567325592', 'valence > 0.59375', 'dominance <= 0.40625']","[16, 106, 110, 131, 671, 907, 1355, 1516, 1550, 2004, 2050, 2220, 2266, 2339, 2345, 2391, 2464, 2502, 2656, 2899, 2932]",2.0,16.0,0
7,17,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care <= 0.5', 'valence > 0.5104166567325592', 'valence > 0.59375', 'dominance > 0.40625']","[80, 217, 271, 320, 372, 471, 522, 542, 571, 633, 655, 718, 839, 942, 983, 1164, 1223, 1234, 1240, 1419, 1490, 1523, 1704, 1736, 1859, 1933, 2005, 2058, 2246, 2344, 2400, 2483, 2589, 2626, 2674, 2847, 2883]",13.0,18.0,0
8,21,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care > 0.5', 'fairness <= 1.5', 'fairness <= 0.5', 'dominance <= 0.2395833358168602']","[13, 198, 363, 627, 923, 949, 1002, 1111, 1137, 1219, 1371, 1500, 1538, 1565, 1640, 1641, 1785, 1814, 1886, 1907, 1926, 1995, 2026, 2033, 2086, 2186, 2213, 2226, 2232, 2257, 2262, 2316, 2318, 2420, 2453, 2465, 2472, 2572, 2639, 2680, 2772, 2800, 2845, 2992, 3044]",23.0,12.0,1
9,22,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care > 0.5', 'fairness <= 1.5', 'fairness <= 0.5', 'dominance > 0.2395833358168602']","[5, 40, 44, 45, 52, 53, 55, 78, 83, 144, 150, 154, 166, 191, 196, 214, 219, 223, 228, 229, 243, 253, 254, 273, 280, 281, 293, 326, 333, 346, 354, 356, 364, 383, 384, 385, 386, 413, 417, 422, 433, 440, 453, 467, 476, 484, 486, 496, 498, 503, 527, 534, 570, 584, 604, 621, 622, 624, 645, 660, 693, 706, 708, 710, 712, 715, 720, 722, 726, 731, 733, 751, 762, 764, 796, 798, 805, 812, 816, 825, 838, 853, 861, 866, 867, 880, 890, 891, 898, 905, 908, 909, 921, 941, 1008, 1009, 1021, 1022, 1025, 1056, 1058, 1071, 1083, 1087, 1105, 1108, 1112, 1142, 1157, 1168, 1187, 1208, 1249, 1257, 1258, 1262, 1264, 1266, 1277, 1314, 1323, 1341, 1345, 1352, 1360, 1367, 1378, 1391, 1423, 1429, 1458, 1460, 1466, 1493, 1515, 1521, 1532, 1539, 1556, 1563, 1576, 1577, 1579, 1581, 1624, 1625, 1629, 1651, 1661, 1665, 1672, 1682, 1685, 1692, 1698, 1709, 1715, 1744, 1746, 1750, 1754, 1756, 1770, 1856, 1862, 1866, 1873, 1882, 1887, 1888, 1889, 1928, 1935, 1954, 1955, 1963, 1969, 1974, 1979, 2013, 2017, 2018, 2029, 2040, 2046, 2047, 2060, 2079, 2109, 2116, 2125, 2133, 2138, 2140, 2152, 2159, 2168, 2174, 2203, 2206, 2207, 2210, 2235, 2258, 2269, 2276, 2283, 2288, 2302, 2315, 2325, 2331, 2338, 2349, 2355, 2360, 2370, 2372, 2375, 2385, 2388, 2396, 2404, 2406, 2408, 2412, 2422, 2427, 2458, 2461, 2467, 2478, 2512, 2518, 2537, 2552, 2554, 2559, 2573, 2597, 2602, 2610, 2612, 2616, 2629, 2648, 2651, 2658, 2659, 2660, 2683, 2684, 2703, 2709, 2719, 2720, 2740, 2780, 2811, 2815, 2820, 2825, 2826, 2830, 2832, 2839, 2858, 2863, 2881, 2895, 2900, 2905, 2923, 2938, 2941, 2957, 2976, 2984, 2989, 3000, 3017, 3040, 3043, 3060, 3074, 3075, 3078, 3079, 3085, 3092]",84.0,134.0,0
