,tweetId,tweetIdx,group,content,rawContent,screenName,valence,valenceGrpPred,valenceSeq,valenceSeqRank,dominance,dominanceGrpPred,dominanceSeq,dominanceSeqRank,care,careGrpPred,careSeq,careSeqRank,fairness,fairnessGrpPred,fairnessSeq,fairnessSeqRank,loyalty,loyaltyGrpPred,loyaltySeq,loyaltySeqRank,authority,authorityGrpPred,authoritySeq,authoritySeqRank,purity,purityGrpPred,puritySeq,puritySeqRank,pred,prob,clusterId,pdpValue
35,765260941101375500,35,0,<url> <allcaps> video for gun control ever </allcaps>,<url> <allcaps> video for gun control ever </allcaps>,User35,0.833333333,0,gun control ever,2.711358563,0.416666667,0,<url> <allcaps> video for gun control ever,3.563658268,0,0,for gun control ever,2.71865065,1,0,gun control ever,2.563376862,2,0,<url> <allcaps> video for gun control ever,3.408970726,2,0,<url>,1.796046811,1,0,<url>,0.488167346,0,0.4,0,
69,782307000512311300,69,0,the best <number> minutes of gun control speech ! <url> via <user>,the best <number> minutes of gun control speech ! <url> via <user>,User69,0.833333333,0,minutes of gun control speech,3.210722707,0.416666667,0,best <number> minutes of gun control speech,3.500373118,0,0,the best <number> minutes of gun control speech,3.479534223,1,0,gun control,0.462543229,2,0,the best <number> minutes of gun control speech,3.171687979,2,0,the,0.298458176,1,0,the,0.276647687,0,0.4,0,
446,773962276827238400,446,0,gun control is my favorite topic to debate,gun control is my favorite topic to debate,User446,0.75,1,gun control is my favorite topic to,3.330581826,0.458333333,0,gun control is my favorite,3.206322736,0,0,is my favorite topic to,2.927102554,1,0,gun control is my favorite topic to,3.213332208,2,0,my favorite topic,2.715319552,2,1,gun,0.299255495,1,0,gun,0.273784639,0,0.4,0,
478,743430220099784700,478,0,wow thank the gods for all our gun bads and laws ! nice to see we do not get gun crime in the uk . <repeated> <url>,wow thank the gods for all our gun bads and laws ! nice to see we do not get gun crime in the uk . <repeated> <url>,User478,0.791666667,0,laws,0.391062337,0.4375,0,we do not get gun crime in the uk,3.188562959,0,0,we do not get gun crime in the uk,2.706282169,0,0,laws,0.268405219,2,0,wow thank the,2.749136118,2,0,wow,1.87164683,1,1,wow thank the gods for all our gun bads,2.911446162,0,0.4,0,
518,777148227120496600,518,0,the second amendment is my gun permit <url>,the second amendment is my gun permit <url>,User518,0.666666667,0,the second amendment is my gun permit,3.058071084,0.4375,0,the second amendment is my gun permit,3.167863611,0,0,second amendment is my gun permit,2.989768307,1,0,amendment,0.289462025,2,0,the second amendment is my gun permit,3.557638187,2,1,the,0.33031504,1,0,the,0.253318495,0,0.4,0,
525,785158258180907000,525,0,"<user> <user> is hoping he will ask candiates about gun control , sc justices nominations and immigration","<user> <user> is hoping he will ask candiates about gun control , sc justices nominations and immigration",User525,0.6875,0,is hoping he will ask candiates about gun control,3.382193632,0.416666667,0,is hoping he will ask candiates about gun control,3.164321994,0,0,is hoping he will ask candiates about gun control,2.99885621,1,0,sc justices nominations and,2.302942338,2,0,and,0.600386381,2,1,ask candiates about gun control,2.952268981,1,0,<user>,0.196737039,0,0.4,0,
622,766425980273512400,622,1,ann marie villacana joins us to share her thoughts on trump ' s second amendment comments <url>,ann marie villacana joins us to share her thoughts on trump ' s second amendment comments <url>,User622,0.708333333,1,second amendment,0.529464882,0.4375,1,marie villacana joins us to share her thoughts on,3.117456287,0,1,to share her thoughts on trump,2.780442862,1,0,amendment,0.313389494,2,0,ann,1.908100439,2,1,ann,1.724349052,1,0,ann,1.684512436,0,0.4,0,
742,764513291569733600,742,0,"<user> <user> throwing ig out there , and it ' s a suggestion , but gun control and the second amendment","<user> <user> throwing ig out there , and it ' s a suggestion , but gun control and the second amendment",User742,0.6875,0,throwing ig out,2.444656548,0.458333333,0,<user> <user> throwing ig out there,3.051764549,0,0,but gun control and the second,3.128324987,1,0,but gun control and the second,2.86716673,2,0,<user> <user> throwing ig,3.307011444,2,0,throwing,1.922973189,1,0,<user>,0.192803234,0,0.4,0,
744,749105461115252700,744,0,harvard university study reveals astonishing link re gun control <url> via <user>,harvard university study reveals astonishing link re gun control <url> via <user>,User744,0.666666667,0,study reveals astonishing link re gun control <url> via,2.922774913,0.416666667,0,study reveals astonishing link re gun control <url> via,3.050220872,0,0,study reveals astonishing link re gun control <url> via,3.107747439,1,0,reveals astonishing,2.680281649,2,0,study reveals astonishing link re gun control <url> via,4.08271299,2,1,harvard,1.972852326,1,0,harvard,1.600901765,0,0.4,0,
758,758742030780555300,758,1,find out where <user> stands on gun violence prevention : <url> <url>,find out where <user> stands on gun violence prevention : <url> <url>,User758,0.75,1,stands,2.107798327,0.4375,1,find out where <user> stands on gun violence prevention,3.043960352,0,1,stands on gun violence prevention,2.854689895,1,1,where <user> stands on gun violence prevention,3.259218515,2,0,where <user> stands,2.347821276,2,0,stands on gun,2.745612636,1,0,find,1.610432951,0,0.4,0,
